# Meck-P4 colour emoji registry -- input to tools/bake_p4_emoji.py.
# One entry per line: <name> <codepoint sequence, hyphen-separated hex, no fe0f> [asset].
# The optional third field names a different Twemoji picture (asset file stem)
# for that codepoint, e.g. tipping draws the woman-tipping-hand image.
# Single codepoints become picker/inline emoji; two regional indicators
# become a flag pair (rendered when the pair occurs in text). ZWJ sequences
# are not supported by the LVGL image-font path and must not be listed.
# Order = table order = picker order. Names are the C symbol stems
# (emoji_<name>_<size>).
#
# --- original Meck-P4 set (order preserved) ---
joy 1f602
frown 2639
loudly_crying 1f62d
grimace 1f62c
zany_face 1f92a
hundred_points 1f4af
grinning 1f601
cowboy 1f920
thumbsup 1f44d
heart 2665
light_blue_heart 1fa75
laughing 1f606
jeans 1f456
fire 1f525
wireless 1f6dc
infinity 267e
trex 1f996
skull 2620
cross 271d
lightning 26a1
tophat 1f3a9
motorcycle 1f3cd
seedling 1f331
umbrella 2602
nazar 1f9ff
globe 1f30f
radioactive 2622
cow 1f404
alien 1f47d
invader 1f47e
dagger 1f5e1
mountain 26f0
end_arrow 1f51a
hollow_circle 2b55
dragon 1f409
globe_meridians 1f310
eggplant 1f346
shield 1f6e1
goggles 1f97d
lizard 1f98e
kangaroo 1f998
feather 1fab6
bright 1f506
part_alt 303d
motorboat 1f6e5
satellite 1f4e1
customs 1f6c3
wheel 1f6de
koala 1f428
control_knobs 1f39b
peach 1f351
racing_car 1f3ce
mouse 1f42d
mushroom 1f344
biohazard 2623
panda 1f43c
anger 1f4a2
dragon_face 1f432
pager 1f4df
bee 1f41d
bulb 1f4a1
cat 1f431
fleur 269c
moon 1f314
coffee 2615
tooth 1f9b7
pretzel 1f968
abacus 1f9ee
moai 1f5ff
tipping 1f481 1f481-200d-2640-fe0f
hedgehog 1f994
diamond_suit 2666
spade_suit 2660
pizza 1f355
four_leaf_clover 1f340
cloud 2601
rocket 1f680
passport_control 1f6c2
eight_spoked_asterisk 2733
signal_strength 1f4f6
beer 1f37a
sun 2600
sunglasses 1f60e
beach 1f3d6
potato 1f954
hammer_pick 2692
penguin 1f427
fox 1f98a
bat 1f987
floppy 1f4be
elevator 1f6d7
cucumber 1f952
pregnant_man 1fac3
speaking_head 1f5e3
phone 260e
dog 1f415
ladybug 1f41e
pushpin 1f4cd
owl 1f989
snake 1f40d
radio 1f4fb
badger 1f9a1
# --- flags ---
flag_au 1f1e6-1f1fa
# --- added from the Meck Watch registry (Aug 2026), Watch order ---
ninja 1f977
giraffe 1f992
disguised 1f978
mirror_ball 1faa9
airplane 2708
eight_ball 1f3b1
mountain_snow 1f3d4
spider 1f577
link 1f517
ruler 1f4d0
satellite_orbit 1f6f0
tokyo_tower 1f5fc
whale 1f40b
lollipop 1f36d
email 1f4e7
shark 1f988
fencer 1f93a
fist 1f44a
speaker 1f50a
flushed 1f633
worm 1fab1
ogre 1f479
orangutan 1f9a7
clapper 1f3ac
dolphin 1f42c
parachute 1fa82
beetle 1fab2
ox 1f402
rabbit_face 1f430
hammer 1f528
recycle 267b
orange_heart 1f9e1
direct_hit 1f3af
joystick 1f579
parrot 1f99c
ant 1f41c
cherry_blossom 1f338
candle 1f56f
flying_saucer 1f6f8
domino 1f0cf
brain 1f9e0
vulcan 1f596
gorilla 1f98d
trophy 1f3c6
rabbit 1f407
hand_over_mouth 1f92d
pie 1f967
collision 1f4a5
rock 1faa8
night_stars 1f303
cat_joy 1f639
skull_face 1f480
cyclone 1f300
hot_springs 2668
detective 1f575
headphone 1f3a7
sailboat 26f5
star 2b50
bomb 1f4a3
tangerine 1f34a
turkey 1f983
rooster 1f413
watch 231a
slight_frown 1f641
grinning_face 1f600
red_heart 2764
smile 1f604
wink 1f609
heart_eyes 1f60d
thinking 1f914
rofl 1f923
smirk 1f60f
neutral 1f610
angry 1f620
scream 1f631
sleeping 1f634
party 1f973
salute 1fae1
melting 1fae0
kiss 1f618
pray 1f64f
clap 1f44f
wave 1f44b
ok_hand 1f44c
muscle 1f4aa
thumbsdown 1f44e
eyes 1f440
sparkles 2728
tada 1f389
check 2705
cross_mark 274c
warning 26a0
poop 1f4a9
flag_ee 1f1ea-1f1ea
